PrivRegNr	Name1	Vorname1	Name2	Vorname2	Name3	Vorname3	Titel	Schlagworte	Ort	Jahr	Einreichdatu	lat	long
19	Tumfort	Franz	NA	NA	NA	NA	"Beschreibung des aus vierundzwanzig Gängen ... auf einen ganz neu verbesserten Mühlstuhl,
welcher Stuhl ... jedoch von einer Person betrieben werden kann"	Bandstuhl	Wien	1821	08.12.1821	48.2080696	16.3713095
20	Waldhoer	Karl	NA	NA	NA	NA	"... neuen Erfindung, welche ... darin besteht, daß mittels einer neu erfundenen Ladehebemaschine
in Verbindung mit der Steiglade auf Seidenbandschübstühlen alle Gattungen Seiden-Mode-Bänder
erzeugt werden"	"Bandstuhl, Ladehebemaschine,
Seidenband"	Wien	1822	NA	48.2080696	16.3713095
21	Felix	Gregor	NA	NA	NA	NA	"... Erfindung, daß er alle gebrannten Wässer sowohl mit Zukker versüßen als solche mit
aromatischen Gerüchen ... verfertigen könne"	Branntwein, Likör	Wien	1822	28.08.1822	48.2080696	16.3713095
22	Grumüller	Franz	NA	NA	NA	NA	"Beschreibung über drei Stück sogenannte Fältelzangen nebst eine zum Faltellegen benötigende
Rolle"	Plissiermaschine	Wien	1822	NA	48.2080696	16.3713095
23	Strnadt	Vinzenz	NA	NA	NA	NA	Apparat zur Branntweinerzeugung	Branntwein	Wien	1822	NA	48.2080696	16.3713095
24	Cavallar	Bernhard Anton	NA	NA	NA	NA	Die neue Entdeckung dieses Kaffees von genießbaren Kastanien	Kaffee, Kastanie/Kaffee	Mödling	1822	30.10.1822	48.08255	16.2869
25	Steiner	Ernest Franz	NA	NA	NA	NA	Beschreibung des schwarzen Tusches	Tusch, Papierabfälle, Leinenabfälle	Wien	1822	18.12.1822	48.2080696	16.3713095
26	Besetzny	Franz	NA	NA	NA	NA	Guitarrenbau und Stimmschraubenverbesserung	Gitarre, Stimmschraube/Gitarre	Wien	1823	02.01.1823	48.2080696	16.3713095
27	Neuman	Georg	NA	NA	NA	NA	Beschreibung der ... von Georg Neuman & Comp. erfundenen Wäsche-Falten-Maschine	Wäscherolle, Bügelmaschine	Wien	1822	NA	48.2080696	16.3713095
28	Besozzi	Ludwig	NA	NA	NA	NA	Beschreibung ... über die Einfertigung des von mir erfundenen Metal-Uhrschlüssel	Uhrschlüssel	Wien	1823	23.04.1823	48.2080696	16.3713095
29	Neuman	Georg	NA	NA	NA	NA	"Beschreibung der ... Erfindung, welche ... in der Verfertigung neuer Vorrichtungen zur Markierung
des Gewinnes und Verlustes bei jeder Gattung von Spielen besteht"	Spiel, Spielmarke	Wien	1823	NA	48.2080696	16.3713095
30	Rosa	Luigi	Sonzogni & Co	NA	NA	NA	Della nuova bilancia a ponte a cinque leve ad un sol punto	Brückenwaage, Waage	Milano	1816	NA	45.468503	9.1824027
31	Girzik	Peter Anton	NA	NA	NA	NA	Methode, wie ich meine Hüte und Czako ungeleimt und wasserdicht verfertige	Hut, Tschako	Wien	1816	20.02.1816	48.2080696	16.3713095
32	Demuth	Karl	NA	NA	NA	NA	"Beschreibung ... neuen Methode, auf Dachrinnen, Auslaufröhren, Dachsäume und auch alle
Bauarbeiten von Blei, Kupfer, Zink, Weiß- und Schwarzblech, oder sonstige Metall mittelst
Maschinen zu verfertigen"	"Blechbiegemaschine,
Firniß/Rostschutz, Rostschutz/Firniß"	Wien	1823	01.03.1823	48.2080696	16.3713095
33	Eder	Michael	NA	NA	NA	NA	Beschreibung der ... Erfindung welche ... darin besteht, daß er elastische Räder erzeuge	Wagenrad	Wien	1822	10.07.1822	48.2080696	16.3713095
34	Pach	Alois	NA	NA	NA	NA	die Hauptkörnerarten ..., sondern auch andere Sämereyen ... ausgesäet werden können, endlich,	NA	Wien	1824	06.01.1824	48.2080696	16.3713095
35	Baer	Johann	Moser	Joseph	NA	NA	Beschreibung zur Verfertigung der neu verbesserten katoptischen Strassenbeleuchtungslampen	Straßenbeleuchtung	Wien	1823	16.07.1823	48.2080696	16.3713095
35	Baer	Johann	Moser	Joseph	NA	NA	Beschreibung zur Verfertigung der neu verbesserten katoptischen Strassenbeleuchtungslampen	Straßenbeleuchtung	Wien	1823	16.07.1823	48.2080696	16.3713095
36	Schuster	Johann Georg	NA	NA	NA	NA	Beschreibung des Gewehrfeuerzeuges [Flintenschloß]	Gewehrschloß	Wien	1821	04.11.1821	48.2080696	16.3713095
37	Schuster	Johann Georg	NA	NA	NA	NA	Beschreibung der ... verbesserten Metallschreibfedern	Schreibfeder	Wien	1821	17.11.1821	48.2080696	16.3713095
38	Schuster	Johann Georg	NA	NA	NA	NA	"Beschreibung der ... neuen Verbesserung, welche ... darin besteht, daß er mittelst einer einfachen
und dauerhaften Vorrichtung die Feuergewehre dermaßen verbessert, daß man kein Zündpulver
aufzuschütten braucht ..."	Gewehr	Wien	1822	23.07.1822	48.2080696	16.3713095
39	Wackenhagen	Karl	Wibel	Friedrich	NA	NA	"Beschreibung der neu gemachten Verbesserung in Vereinigung aller bisher gebräuchlichen
Uhrmacher-Werkzeuge auf einem Brett, vermittelst welchem man eine jede Uhr verfertigen kann,
und zwar mit Einsparung der Hälfte Zeit"	Uhrmacher	Wien	1823	10.07.1823	48.2080696	16.3713095
40	Catlinetti	Giovanni	NA	NA	NA	NA	"Descrizione della macchina ... per dirompere e preparare il Lino e la Canapa senza il prefidio della
macerazione, per trebbiare i grani, e per altri simili usi, con tutte le sue parti non visibili nel
disegno qui annesso"	"Flachsbrechmaschine,
Hanfbrechmaschine"	Milano	1821	30.06.1821	45.468503	9.1824027
41	Probst	Cajetan	NA	NA	NA	NA	Beschreibung der Einrichtung auf eine besondere Art Latern mit Oel zu Herrschaft-Wägen	Laterne, Wagenlaterne	Wien	1821	27.03.1821	48.2080696	16.3713095
42	Reichenbach	Karl	"Salm -
Reifferscheid"	Hugo Altgraf v.	NA	NA	"Beschreibung der Verbesserung welche im wesentlichen darin besteht, daß sie nach einer, ihnen
eingethümlichen Weise erzeugten Holzessig zur Bereitung eines Baryts und der Baryts zu
verschiedenen technischen Verwendungen anwenden"	Baryt, Barytsalze, Holzessig	Wien	1823	14.04.1823	48.2080696	16.3713095
43	Spitzbarth	Andreas	NA	NA	NA	NA	"Die höchste Räderkraft im Maschinenwesen, angewendet bey einer neuerfundenen Preß-Heb-
und Zugmaschine, auch Triebwerk aller Gattungen Mühlen ..."	Getriebe, Seilwinde	Wien	1821	30.03.1821	48.2080696	16.3713095
44	Girzik	Peter Anton	NA	NA	NA	NA	Anweisung zur Bereitung eines wolfeilen Punsches auf vierzig Maß Wasser gerechnet	Punsch	Wien	1823	22.03.1823	48.2080696	16.3713095
45	Girzik	Peter Anton	Stenko	Prokop	NA	NA	Anweisung zur Bereitung der künstlichen trockenen Hefe oder Görben [Germ]	Hefe	Wien	1823	22.05.1823	48.2080696	16.3713095
46	Lueger	Mathias	NA	NA	NA	NA	"Beschreibung uiber die ... neu erfundenen und im oesterreichischen Staate noch nie bestandenen
zwei Brunn-Schöpf-Doppelwerke"	Brunnen, Schöpfwerk	Wien	1821	13.03.1821	48.2080696	16.3713095
47	Besetzny	Franz	NA	NA	NA	NA	Die Verbesserung der Guitarren-Stimmenschrauben	Stimmschraube/Gitarre, Gitarre	Preßburg	1822	27.07.1822	48.1485965	17.1077477
48	Seitter	M.A.	NA	NA	NA	NA	Beschreibung des ... erfundenen Stoffes zu Damenkleidern, genannt Bourre de Laine	Kleiderstoff, Bourettstoff	Wien	1822	03.08.1822	48.2080696	16.3713095
49	Kargl	Anton	NA	NA	NA	NA	"Beschreibung der ... Erfindung, welche im wesentlichen darin besteht, daß mittelst einer neuen
Gattern und Hebezeug ... zum einweben der Desseins in Seiden, Baum- Schafwollen und
Leinenstoffe, dieselben einfacher ... eingerichtet werden können"	Webstuhl, Dessin	Wien	1822	30.12.1822	48.2080696	16.3713095
50	Goebel	Joseph	NA	NA	NA	NA	"Beschreibung der ... Erfindung, welche in der Wesenheit darin besteht, auf Mühlstühlen Bänder
ganz willkürlcih ... zu broschieren und auch zugleich zu quatrilieren ..."	Bandstuhl, Broschieren, Quatrilieren	Wien	1821	20.11.1821	48.2080696	16.3713095
51	Griller	Georg	NA	NA	NA	NA	"Beschreibung der ... Erfindung, welche im wesentlichen darin besteht, daß auf dem gewöhnlichen
Hand-, Schu- und Mühlbandstuhl mittelst einer besonderen Einrichtung ... elastische Bänder aus
Seide, Baumwolle, Schafwolle und Leinengarn erzeugt werden können ..."	Bandstuhl	Wien	1821	25.07.1821	48.2080696	16.3713095
52	Hartl	Leopold	Schnell	Johann	NA	NA	"Beschreibung der ... Entdeckung, welche im wesentlichen darin besteht, daß sie von Tuch, Casimir
und anderen Stoffen, Rock- und Westenknöpfe zum machen im Stande sind ..."	Knopf	Wien	1824	08.03.1824	48.2080696	16.3713095
53	Reger	Philipp	NA	NA	NA	NA	Angabe, echten und guten Wein-Punsch auf eine raffinierte Art zu bereiten	Punsch	Wien	1823	31.05.1823	48.2080696	16.3713095
54	Groll	Joseph	& Sohn	NA	NA	NA	"Manipulations-Angabe über die Erzeugung der (Floor Cloths) Fußwachsleinwand oder
Wachstebiche, welche aus Trilch und Segeltüchern gemacht werden"	Wachstuch	Wien	1823	07.04.1823	48.2080696	16.3713095
55	Demuth	Karl	NA	NA	NA	NA	Beschreibung der von mir erfundenen Lusterlampe	Lampe	Wien	1821	27.06.1821	48.2080696	16.3713095
56	Wibral	Matthaeus	NA	NA	NA	NA	"Beschreibung der ... neu erfundenen Metallknöpfen, besonders auf Westen und Beinkleidern,
welche zum Waschen sind"	Patentknöpfe, Knopf	Wien	1822	04.06.1822	48.2080696	16.3713095
57	Mangelkammer	Johann	NA	NA	NA	NA	Beschreibung meiner Methode, feuerfeste Oefen und Kochgeschirr zu bereiten	Ofen, Kochgeschirr	Wien	1821	10.04.1821	48.2080696	16.3713095
58	Mangelkammer	Johann	NA	NA	NA	NA	"Beschreibung der ... Entdeckung, welche in der Wesenheit darin besteht, die vom H.Professor
Meißner erfundenen Lufterneuerungsöfen zu mahlen und zu lackieren ..."	Ofenlack	Wien	1822	13.11.1822	48.2080696	16.3713095
59	Boehm	Vinzenz	NA	NA	NA	NA	"Beschreibung der ... Erfindung, welche in der Wesenheit darin besteht, daß verfertigte
wachsähnliche Unschlittkerzen, nicht nur sehr rein ..., sondern teilweise einen angenehmen
Geruch ... haben, als auch denselben während des Brennens sowie auch beim Auslöschen
verbreiten"	Kerzen, Unschlitt	Niklasdorf	1822	18.06.1822	47.3959392	15.1610623
60	Hlawa	Vinzenz	NA	NA	NA	NA	Beschreibung der ... neuen Entdeckung einer Dachschindelmaschine	Schindel	Datschitz	1822	09.11.1822	49.0798195	15.434204
61	Rohrbach	Franz	NA	NA	NA	NA	Genaue Beschreibung der ... verbesserte neuer Art Fußteppichtücher und derlei Fußteppiche	Teppich	Wien	1824	22.10.1824	48.2080696	16.3713095
62	Schulz	Anton	NA	NA	NA	NA	"Zeigt ... eine neue Verbesserung gemacht zu haben, welche ... darin besteht, daß eine Klappe dem
Blaser und Spieler sehr angenehm und leichter in Schließung ohne Bedarf von Leder oder Ventil, ...
welche Klappe von jedem Metall ... verfertigt werden kann ..."	"Blasinstrument,
Klappe/Blasinstrument"	Wien	1824	24.04.1824	48.2080696	16.3713095
63	Monecke	Sigfried	NA	NA	NA	NA	"Beschreibung der ... neuen Erfindung, welche ... darin besteht, daß er den Seidenplüsch (Felber)
durch eine bloße Unterlage von seinem Tuche und eigene chemische Zubereitung ... Hüte zu
formen wisse ..."	Hut	Wien	1821	24.09.1821	48.2080696	16.3713095
64	Drexler	Anton Ferdinand	NA	NA	NA	NA	"Beschreibung der ... Verbesserung, welche ... darin bestehet, ein Schreibpapier unter dem
allgemeinen Namen Schulpapier zu erzeugen, welches durch sichtbare Linien theils das Schreiben
den Anfängern erleichtert ..."	Schreibpapier	Wien	1824	01.10.1824	48.2080696	16.3713095
65	Reck	Friedrich	NA	NA	NA	NA	Beschreibung der ... neuen Erfindung, welche ... darin besteht: Ein neues Tabakpfeifenrohr ...	Tabakspfeife	Wien	1823	23.09.1823	48.2080696	16.3713095
66	Sobetzki	Franz	Stumpf	Joseph	NA	NA	Beschreibung der ... entdeckten Verbesserung der metallenen Schreibfedern	Schreibfeder	Wien	1823	NA	48.2080696	16.3713095
67	Bollinger	Rudolph	Bollinger	Samuel	NA	NA	Beschreibung der ... neuen Verbesserung einer Zylinder-Handmühle ...	Handmühle	Wien	1822	18.07.1822	48.2080696	16.3713095
68	Uffenheimer	Jonathan Gabriel	NA	NA	NA	NA	"Beschreibung der Methode der in der k.k.priv.Gundramsdorfer Papier Fabrick auf gestellte
Kunstbleiche geruchlos und unschädlich zu bleichen"	Papier/Bleichen, Bleichen/Papier	Wien	1818	16.06.1818	48.2080696	16.3713095
69	Emperger	Anton Edl.v.	Emperger	Eugen Edl.v.	NA	NA	Neu erfundene Bleyweiß-Erzeugungsart	Bleiweiß	Wien	1819	27.03.1819	48.2080696	16.3713095
70	Bawinger	Laurenz	NA	NA	NA	NA	Genaue Beschreibung der Verfertigung von Papierhüten ...	Hut	Wien	1820	25.04.1820	48.2080696	16.3713095
71	Smetana	Franz Anton	NA	NA	NA	NA	"Zubereitung des Graphits zu feuerfestem, geruchlosen und unabfärbigen Küchengeschirr und
Oefen"	"Kochgeschirr, Ofen,
Graphit/Kochgeschirr, Graphit/Ofen"	Jamenitz	1819	15.08.1819	NA	NA
72	Effinger	Josefine	NA	NA	NA	NA	Beschreibung der ... neu erfundenen Stroh-Hüte	Hut	Wien	1820	NA	48.2080696	16.3713095
73	Jaeckel	Joseph	NA	NA	NA	NA	Beschreibung der Erfindung	 Glas ohne Pottasche oder deren Surrogate ... und ohne Bleioxyd	Wien	1818	25.08.1818	48.2080696	16.3713095
74	Hauer	Georg	NA	NA	NA	NA	"Beschreibung der ... neuen Erfindung ..., dass man alle Arten Damenhüte ohne Näherei mittels
Modeln verfertigen kann, sowohl aus bekannten Seiden, als auch aus eigens zur Verfertigung
dieser Hüte zubereiteten aufgelegten Stoffen ..."	Hut	Wien	1822	07.03.1822	48.2080696	16.3713095
75	Landriani	Chevalier	NA	NA	NA	NA	Vier Stück Zeichnungen der Spinnmaschine [ohne Text]	Spinnmaschine	NA	1826	NA	NA	NA
76	Braunlich	Karl Friedrich	& Sohn	NA	NA	NA	Abrisse und Erklärung der neu erfundenen Sammet-Band-Mühlstühle	Bandstuhl, Samtband	Wien	1806	29.05.1806	48.2080696	16.3713095
77	Mueller	Karl	Mueller	Mathias	Roellig	Leopold	Beschreibung der Instrumente: Ditanaklasis, Orphica und Xaenorphica	"Ditanaklasis, Orphica, Xaenorphica,
Musikinstrument"	NA	1826	NA	NA	NA
78	Wagner	Joseph	NA	NA	NA	NA	Beschreibung der ... erfundenen Tuchscheren	Tuchschere	Preßburg	1817	18.04.1817	48.1485965	17.1077477
79	Honig	Ferdinand	NA	NA	NA	NA	"Bereitungsart einer neuen ... erfundenen und seit 25 Jahren in Ausübung gebrachten, nach einem
von mir erdachten zweckmäßigen System der Färbekunst nach chemischen Grunsätzen zu
bereitenden schwarzen Farbe ..."	Schwarz, Tinte	Wien	1817	12.04.1817	48.2080696	16.3713095
80	Meissner	Ignaz	NA	NA	NA	NA	Zeichnung und Beschreibung der Kaffee-Dampfmaschine	Kaffeemaschine	Wien	1822	19.02.1822	48.2080696	16.3713095
81	Schaendl	Jakob	NA	NA	NA	NA	Zeichnung und Beschreibung der ... erfundenen Wassermaschine	Wasserkraftmaschine	Wien	1815	08.02.1815	48.2080696	16.3713095
82	Weidlich	Josef	NA	NA	NA	NA	Erklärung der ... erfundenen Sitz Baad-Maschine	Sitzbad	Wien	1818	NA	48.2080696	16.3713095
83	Ugazy	Vitus	NA	NA	NA	NA	Mechanische Beschreibung der großen Säemaschine und der kleinen Pflug-Säemaschine	Sämaschine, Pflugsämaschine	Wr. Neustadt	1817	15.07.1817	47.8129867	16.2455634
84	Sobezky	Franz	NA	NA	NA	NA	Beschreibung der neu erfundenen rundverjüngten metallenen Schreibfeder ...	Schreibfeder	Wien	1823	13.06.1823	48.2080696	16.3713095
85	Schmid	Fidelis	NA	NA	NA	NA	"Beschreibung der von ... gemachten Verbesserung der Weine, welche ... darin besteht, daß der
Schwefelstoff aus lange leer gestandenen Fäßern entfernt wird indem das Faß eine Art Glasur
erhält, welche den Schwefelstoff ganz vernichtet, dagen aber mit dem in ihr liegenden Zuckerstoff
auf die Weingährung günstig einwirkt"	Wein/Verbesserung, Weinfaß	Wien	1823	26.09.1823	48.2080696	16.3713095
86	Bernard	Franz Aloys	NA	NA	NA	NA	"Beschreibung und Zeichnung der ... neuen Erfindung, bestehend in einer Druckmaschine ... Druck-
Streich-Maschine ..."	Zeugdruck	Wien	1823	20.12.1823	48.2080696	16.3713095
87	Scheiffler	Nikolaus	NA	NA	NA	NA	"Beschreibung der ... neuen Erfindung der Wagen-Laternen nach argantischer Art mit Oehl
beleuchtet ..."	Wagenlaterne, Laternen	Wien	1821	26.04.1821	48.2080696	16.3713095
88	Philippi	Johann Thomas	Schoeberl	Johann Franz	NA	NA	"Beschreibung des ... Geheimnisses zur Erzeugung der Frankfurterschwärze, des Theers,
Theerwassers und Tusche-Zeichnungen der Oefen und Namhaftmachung der Manipulation"	"Frankfurterschwärze, Farbe, Teer,
Teerwasser, Tusch"	Korneuburg	1803	21.06.1803	48.34472	16.33149
89	Allmayer	Johann Anton	NA	NA	NA	NA	"Methode alle vegetabilischen Stoffe in Zeit von wenig Tagen, ohne sie der gemeinen Luft, und der
Sonne aussezzen zu müssen, zu jeder Jahreszeit zu bleichen"	Bleichen	NA	1826	NA	NA	NA
90	Meissner	Ignaz	NA	NA	NA	NA	"Beschreibung der ... Entdeckung, welche ... darin besteht, daß er mittelst gereinigten, und zu allen
Arten von Gespinnst zugerichteten Asbest a) unverbrennbare Lampen-Tochte ... zu erzeugen ... b)
alle Arten Gewebe zu chemischen und phisischen, und wie auch sonst immer Nahmen habende
Zwecke zu verfertigen im Stande ist"	Docht, Asbest/Docht, Asbestgewebe	Wien	1823	29.09.1823	48.2080696	16.3713095
91	Rohrbach	Franz	NA	NA	NA	NA	"Beschreibung der ... Verbesserung, welche ... darin besteht, die von ihm benannten Parqueten-
Tücher zu machen"	Parkettücher, Teppich	Wien	1823	16.09.1823	48.2080696	16.3713095
92	"Scheidtenberge
r"	Joseph	NA	NA	NA	NA	Verfertigungs Art lakirter Hüte von Leder und Papier	Hut	Villach	1824	02.01.1824	46.6084959	13.8506159
93	La Vigne	Claire	NA	NA	NA	NA	Rohr, Weide, Stroh und sonstiger zum Flechten geeigneter Materiale ...	NA	Wien	1823	17.10.1823	48.2080696	16.3713095
94	La Vigne	Claire	NA	NA	NA	NA	"Beschreibung der von ... gemachten neuen Veränderung in der Verfertigung der
Männerfischbeinhüte verflochten mit Holz ..."	Hut	Wien	1824	24.04.1842	48.2080696	16.3713095
95	Isak	Mathias	NA	NA	NA	NA	"Beschreibung ... der ... neuen Erfindung von Stahlenen Schreibstiften mit welchen man mehrere
Jahre schreiben wird wie mit der besten Feder ohne an Reparatur zu denken ..."	Schreibfeder	Wien	1825	25.05.1825	48.2080696	16.3713095
96	Thuemmel	Mathias Joseph	NA	NA	NA	NA	Beschreibung der ... neu erfundenen Wasserhebmaschine, ...	Pumpe, Wasserhebemaschine	Wien	1817	18.06.1817	48.2080696	16.3713095
97	Breit	Joseph	NA	NA	NA	NA	"Neu erfundene Maschine, wodurch die Sägespäne ganz rein zum Verkaufen hergestellt, von allen
groben Splittern oder sogenannten Schadten, Sand, und Staub ganz gereiniget, ... werden"	Sägespäne	Wien	1825	24.09.1825	48.2080696	16.3713095
98	Bajohr	Leopold	NA	NA	NA	NA	Beschreibung der ... neu verbesserten Lampen, Tabakdosen und Pippen	Lampe, Tabakdose, Pippe	Wien	1823	19.02.1823	48.2080696	16.3713095
99	Cavalleri	Luigi	NA	NA	NA	NA	Descrizione della Scoperta che ... consiste nel lavorare il Corallo in natura ...	Koralle	Milano	1821	15.09.1821	45.468503	9.1824027
100	Sendner	Georg	NA	NA	NA	NA	Beschreibung der ... Erfindung einer Getreide-Abschälungs-Maschine, ...	Getreideschälmaschine	Wien	1824	27.05.1824	48.2080696	16.3713095
101	Finazzi	Giovanni	NA	NA	NA	NA	"Descrizione dell'invenzione ... che ... consiste in una macchina detta Messimetro atta a battere la
musica ..."	Metronom	Milano	1823	29.06.1823	45.468503	9.1824027
102	Bloch	Jakob	NA	NA	NA	NA	"Beschreibung der Verbesserung, welche ... darin besteht, daß das Distilliren von Branntwein,
Rosoglio, Liqueur und Spiritus durch zweckmäßigere Veränderung des gewöhnlichen
Kühlapparates ... befördert, ... welche Verbesserung auf jeden gemeinen Kessel ... anwendbar ist,
wo kein fortlaufendes Kühlwasser ... auf das Kühlfaß gebracht werden kann"	Branntwein, Destilierapparat	Wien	1825	03.02.1825	48.2080696	16.3713095
103	Dahm	Matthaeus Jakob	NA	NA	NA	NA	"Beschreibung der ... Verbesserung, welche ... darin besteht, daß aus einer großen Mischung von
Rosoglio-Satz, Weinlager und reinem Korn Aquavit der besten Qualitäten Branntwein ... erzeugt
werden kann"	"Aquavit, Branntwein, Weinlager,
Rosoglio"	Wien	1824	24.04.1824	48.2080696	16.3713095
104	Battisti	Johann	NA	NA	NA	NA	"Beschreibung der Erfindung, welche ... darin besteht, die rohe Seide fein Ponson, Incarnat, dunkel
rosa und mittelrosa, ohne Saflor und Citronensaft ... zu färben ..."	Färben/Seide, Seide/Färben	Wien	1824	15.03.1824	48.2080696	16.3713095
105	Schmidt	Anton	NA	NA	NA	NA	"Beschreibung einer neu entdeckten Lampe, welche jede offene noch so hohe Stiege allein hell
beleuchtet"	Lampe, Stiegenbeleuchtung	Wien	1824	03.09.1824	48.2080696	16.3713095
105	Schmidt	Anton	NA	NA	NA	NA	Beschreibung einer neu entdeckten vollkommenen Caffee und Obers-Maschine	Kaffeemaschine, Obersmaschine	Wien	1824	24.08.1824	48.2080696	16.3713095
106	Ziegler	Georg	Ziegler	Stephan	Ziegler	Johann	"Zeigen ... an, eine neue sehr nützliche, Verbesserung Ihrer Dessains Zugmaschinen erfunden zu
haben, ..."	Webstuhl	Wien	1824	13.01.1824	48.2080696	16.3713095
107	Lang	Johann	NA	NA	NA	NA	"Beschreibung der ... Erfindung, welche ... darin besteht, daß Feuerspritzen, sowohl auf Wägen sich
befindliche als tragbare durch eine hölzerne Windkammer und hölzerne Stiefel: Samt Kolben und
Ventil ebenfalls Holz: ... hergestellt werden ..."	Feuerspritze, Pumpe	Wien	1823	03.11.1823	48.2080696	16.3713095
108	Reck	Friedrich	NA	NA	NA	NA	"Beschreibung der ... Verbesserung seiner ... Maschinen, welche ... darin bestehen, daß seine
Kunstgallanterie Arbeiten von Bernstein, Perlmutter, Elfenbein und Meerschaum auf eine weit
vortheilhaftere Art ... können verfertigt werden, ..."	Galanterie	Wien	1824	07.07.1824	48.2080696	16.3713095
109	Reck	Friedrich	NA	NA	NA	NA	"Beschreibung und Model der ... Verbesserung, welche ... darin besteht, daß die Meerschaum-
Tabak-Pfeiffe zugleich theils mit einer neuen Art Jagd-Pfeiffen, und theils mit einem besonders
verbesserten Wassersakkes versehen sind, nebst einem gut angebrachten Pfeiffen-Räumer, ..."	Tabakspfeife	Wien	1825	19.01.1825	48.2080696	16.3713095
